t[s],Q[W],Tin[degC],Tout[degC]
60,0,8.556540639712791,8.556540639713191
120,0,8.858396987054105,8.858396987
180,0,9.066926167311523,9.066926167
240,0,9.204706088416193,9.204706088416387
300,0,9.226908573697008,9.226908574
360,0,9.238031769996228,9.23803177
420,0,9.245189569406902,9.245189569
480,0,9.248679509,9.248679509
540,0,9.247535542925178,9.247535542924801
600,0,9.235221270692783,9.235221270692554
660,0,9.215316394430292,9.215316394430303
720,0,9.193296488102215,9.193296488102474
780,0,9.174637125673062,9.174637125673517
840,0,9.163431697,9.163431696782967
900,0,9.153971202036633,9.153971202037276
960,0,9.145466017216068,9.145466017216803
1020,0,9.138709865677303,9.138709865678088
1080,0,9.134496470776932,9.134496470777679
1140,0,9.133210897222716,9.133210897223327
1200,0,9.132555822384194,9.132555822384665
1260,0,9.132045981610226,9.132045981610585
1320,0,9.131692780844542,9.131692781
1380,0,9.131507626030881,9.131507626031116
1440,0,9.131603029863022,9.131603029863262
1500,0,9.132538831371722,9.132538831372036
1560,0,9.134068087693503,9.134068087693933
1620,0,9.135792368913393,9.135792368913926
1680,0,9.137313245116419,9.137313245117001
1740,0,9.138335368459526,9.138335368460055
1800,0,9.139275894926422,9.139275894926824
1860,0,9.140154360767955,9.140154361
1920,0,9.140869764749361,9.140869764749482
1980,0,9.141321105635887,9.141321105635969
2040,0,9.141453312533745,9.141453312533903
2100,0,9.141517103787477,9.141517103787724
2160,0,9.141566673506647,9.141566673506963
2220,0,9.141600963176636,9.141600963177002
2280,0,9.141618914,9.141618914283235
2340,0,9.141608283,9.141608282587608
2400,0,9.141507212421319,9.141507212421635
2460,0,9.141342901737577,9.141342901737785
2520,0,9.141159291732547,9.141159292
2580,0,9.141000323602793,9.141000323602807
2640,0,9.140898455489669,9.140898455489669
2700,0,9.140806636615567,9.140806636615576
2760,0,9.140721881294438,9.140721881
2820,0,9.140654613134432,9.140654613
2880,0,9.140615255743711,9.140615255743766
2940,0,9.140609665420678,9.140609665420733
3000,0,9.140612919516926,9.14061292
3060,0,9.140619022507593,9.140619022507618
3120,0,9.140627424,9.140627424088903
3180,0,9.140637573957111,9.140637573957072
3240,0,9.140651085049125,9.140651085049047
3300,0,9.140679723479924,9.140679723479778
3360,0,9.140718959,9.140718958753816
3420,0,9.140761096223944,9.140761096
3480,0,9.140798441242119,9.140798441241817
3540,0,9.140825554831032,9.140825554830778
3600,0,9.140851813534624,9.140851814
3660,0,9.140876607750075,9.140876608
3720,0,9.140896587671003,9.140896587671046
3780,0,9.140908403491032,9.140908403491137
3840,0,9.140910125644307,9.140910125644417
3900,0,9.140909447132648,9.140909447
3960,0,9.140908260948143,9.140908260948155
4020,0,9.140906773674054,9.140906774
4080,0,9.140905191893653,9.140905191893552
4140,0,9.140903572502156,9.140903572502042
4200,0,9.140901235,9.140901235
4260,0,9.140898568,9.140898567930229
4320,0,9.140896175111743,9.140896175111934
4380,0,9.140894659726564,9.140894659726836
4440,0,9.140895266767117,9.140895266767403
4500,0,9.140902032370686,9.140902032370995
4560,0,9.140913793554404,9.140913793554752
4620,0,9.140928419647743,9.140928419648136
4680,0,9.140943779980185,9.14094378
4740,0,9.140958756934083,9.140958756934555
4800,0,9.140977803455508,9.140977803456025
4860,0,9.140999092528064,9.140999092528626
4920,0,9.141019423226242,9.141019423226831
4980,0,9.141035594624539,9.141035594625125
5040,0,9.141045426754504,9.141045426755046
5100,0,9.141053652519606,9.141053652520089
5160,0,9.141060828080311,9.141060828080734
5220,0,9.141066296716309,9.141066296716685
5280,0,9.141069401707302,9.141069401707647
5340,0,9.141069138,9.141069138005466
5400,0,9.141063708947252,9.141063708947557
5460,0,9.141055339,9.141055339
5520,0,9.141046874757304,9.141046874757514
5580,0,9.141041161124466,9.141041161124642
5640,0,9.141040431757698,9.141040431757865
5700,0,9.141042195768883,9.141042195769003
5760,0,9.141045509922083,9.141045509922124
5820,0,9.141050082057744,9.141050082057685
5880,0,9.141055620016317,9.141055620016148
5940,0,9.141063003,9.141063003
6000,0,9.141078657665561,9.141078657665336
6060,0,9.141100268281589,9.141100268281482
6120,0,9.141123812359622,9.141123812
6180,0,9.141145267399859,9.141145267400008
6240,0,9.141161864764081,9.141161864764252
6300,0,9.141178778976961,9.141178778977112
6360,0,9.141195149111898,9.141195149112018
6420,0,9.141208552383839,9.141208552383922
6480,0,9.141216566007735,9.141216566007797
6540,0,9.141217207115092,9.141217207115153
6600,0,9.141212576982003,9.141212576982081
6660,0,9.141204808993368,9.141204809
6720,0,9.141195660099628,9.141195660099768
6780,0,9.141186887251218,9.141186887251383
6840,0,9.141179661475979,9.141179661
6900,0,9.141171593920589,9.141171594
6960,0,9.141163368,9.141163367791735
7020,0,9.141156416231269,9.141156416231398
7080,0,9.141152172381926,9.141152172382041
7140,0,9.141152684090054,9.141152684090162
7200,0,9.141161987158641,9.141161987158704
7260,0,9.141177999946748,9.141177999946736
7320,0,9.141197623,9.141197623058504
7380,0,9.141217757,9.141217757098245
7440,0,9.141236893901677,9.141236893901588
7500,0,9.141261940372358,9.14126194
7560,0,9.141289385,9.141289384562613
7620,0,9.141313512217021,9.141313512217444
7680,0,9.141328609,9.141328609082107
7740,0,9.141330885209097,9.141330885209658
7800,0,9.141329952061458,9.141329952061955
7860,0,9.141328165112649,9.141328165113029
7920,0,9.141325642976188,9.141325642976414
7980,0,9.141322504265597,9.141322504265641
8040,0,9.141317335382679,9.141317335382547
8100,0,9.141302001852175,9.141302001851988
8160,0,9.141280691736592,9.141280691736439
8220,0,9.141259896473615,9.141259896
8280,0,9.141246107500942,9.141246108
8340,0,9.141244185075527,9.141244185075529
8400,0,9.141246901468394,9.141246901468401
8460,0,9.141251973338443,9.141251973
8520,0,9.141258917203475,9.141258917203507
8580,0,9.141267249581306,9.141267249581354
8640,0,9.141278413868468,9.141278414
8700,0,9.141302605908516,9.141302606
8760,0,9.141335022750203,9.141335022750436
8820,0,9.141368004487044,9.141368004487344
8880,0,9.141393891212552,9.141393891212866
8940,0,9.141407142809657,9.141407143
9000,0,9.141417179697186,9.141417179697338
9060,0,9.141425756863352,9.141425757
9120,0,9.141432191350907,9.141432191
9180,0,9.141435800202606,9.141435800202554
9240,0,9.141435411156154,9.141435411156124
9300,0,9.141428339158908,9.141428339159072
9360,0,9.141416884018264,9.141416884
9420,0,9.141404164881841,9.141404164882548
9480,0,9.141393300897274,9.141393300898102
9540,0,9.141386603312357,9.141386603313077
9600,0,9.141380739,9.141380739357395
9660,0,9.141375393475782,9.141375393476043
9720,0,9.141371186910796,9.141371187
9780,0,9.141368740903712,9.141368741
9840,0,9.141368985492594,9.141368985492482
9900,0,9.141373844298837,9.141373844298728
9960,0,9.141382159455894,9.141382159
10020,0,9.141392261158865,9.141392261158785
10080,0,9.14140248,9.141402479602785
10140,0,9.141411717579912,9.141411717579865
10200,0,9.141422335937849,9.141422335937843
10260,0,9.141433658761848,9.141433658761889
10320,0,9.141444274498363,9.141444274498435
10380,0,9.141452771593856,9.141452771593931
10440,0,9.141458222951039,9.141458222951073
10500,0,9.141462914,9.141462913773335
10560,0,9.141467034773306,9.141467034773223
10620,0,9.141470192153351,9.141470192153216
10680,0,9.141471992115973,9.141471992115807
10740,0,9.141472165612532,9.141472165612363
10800,0,9.141471452,9.141471452085273
10860,0,9.141470352081777,9.141470352081663
10920,0,9.141469239611146,9.141469239611064
10980,0,9.141468488683081,9.141468489
11040,0,9.141468449072708,9.141468449072654
11100,0,9.141469140555547,9.141469140555515
11160,0,9.141470407135023,9.141470407135031
11220,0,9.1414721,9.141472099666341
11280,0,9.141474069004502,9.141474069004598
11340,0,9.141476373611326,9.141476373611438
11400,0,9.141480125805577,9.141480125805613
11460,0,9.141485006,9.141485005577437
11520,0,9.141490399759878,9.141490399759633
11580,0,9.141495695185256,9.141495695
11640,0,9.141500462,9.141500462261634
11700,0,9.141505435382347,9.141505435382154
11760,0,9.141510467022623,9.141510467022602
11820,0,9.141515181127577,9.141515181127735
11880,0,9.141519201642025,9.141519201642323
11940,0,9.141522248803241,9.141522248803607
12000,0,9.141524776376977,9.141524776377391
12060,0,9.141526979301034,9.141526979301492
12120,0,9.141528949,9.141528948901227
12180,0,9.141530776501464,9.141530776501938
12240,0,9.141532515063677,9.141532515064105
12300,0,9.141534014508567,9.141534014508922
12360,0,9.141535375707962,9.141535376
12420,0,9.141536753,9.141536752611914
12480,0,9.141538299,9.141538299169882
12540,0,9.141540159608567,9.14154016
12600,0,9.141542344,9.141542343754121
12660,0,9.141544788,9.141544787599871
12720,0,9.141547429624271,9.141547429624287
12780,0,9.141550208305791,9.141550208305834
12840,0,9.141553110672332,9.141553110672405
12900,0,9.141556363642573,9.141556363642719
12960,0,9.141559848315405,9.141559848315644
13020,0,9.141563376366815,9.141563376367143
13080,0,9.141566759472804,9.141566759473193
13140,0,9.141569853955666,9.141569853956062
13200,0,9.141572834882906,9.141572834883272
13260,0,9.141575721925692,9.141575721926007
13320,0,9.141578483890813,9.141578483891069
13380,0,9.141581089585074,9.141581089585271
13440,0,9.141583508304508,9.141583508304658
13500,0,9.141585744473478,9.141585744473577
13560,0,9.141587853234316,9.141587853
13620,0,9.141589893355185,9.141589893355189
13680,0,9.141591923604249,9.141591924
13740,0,9.141593978868435,9.141593978868363
13800,0,9.141595959400439,9.141595959400327
13860,0,9.141597907998545,9.141597908
13920,0,9.141599899410396,9.141599899410226
13980,0,9.141602008383646,9.141602008
14040,0,9.141604320451659,9.141604320451506
14100,0,9.14160691,9.141606909694584
14160,0,9.141609666078084,9.141609666078118
14220,0,9.141612455582798,9.141612455582948
14280,0,9.141615144,9.141615144
14340,0,9.141617627,9.141617627020498
14400,0,9.141620015821614,9.141620015821966
14460,0,9.141622335133423,9.141622335133805
14520,0,9.141624577430663,9.141624577431067
14580,0,9.141626735,9.141626735188796
14640,0,9.141628795782548,9.141628795782939
14700,0,9.141630737017538,9.141630737017895
14760,0,9.141632598908252,9.141632598908563
14820,0,9.141634430826977,9.141634430827237
14880,0,9.141636282146019,9.141636282
14940,0,9.141638190594021,9.141638190594161
15000,0,9.141640111892402,9.141640111892464
15060,0,9.141642044146645,9.141642044146618
15120,0,9.141643998875725,9.141643998875619
15180,0,9.141645987598627,9.141645987598471
15240,0,9.141648023161823,9.141648023161654
15300,0,9.141650114879127,9.141650114878999
15360,0,9.141652245885963,9.141652245885906
15420,0,9.141654396085032,9.141654396085055
15480,0,9.141656545379057,9.141656545379147
15540,0,9.141658679675718,9.141658679675844
15600,0,9.141660822988834,9.141660822988971
15660,0,9.141662970534952,9.141662971
15720,0,9.14166511,9.14166511
15780,0,9.141667229,9.141667229306751
15840,0,9.141669318737392,9.141669319
15900,0,9.141671388734348,9.141671388734425
15960,0,9.141673441124842,9.141673441
16020,0,9.141675474714491,9.141675474714507
16080,0,9.141677488308902,9.141677488308904
16140,0,9.141679480513078,9.141679480513082
16200,0,9.141681450357813,9.141681450357844
16260,0,9.141683400651033,9.141683401
16320,0,9.141685334674898,9.141685334675008
16380,0,9.141687255711586,9.141687255711735
16440,0,9.141689164901196,9.141689164901386
16500,0,9.141691052973428,9.141691052973664
16560,0,9.141692926204062,9.141692926204348
16620,0,9.141694793954885,9.141694793955212
16680,0,9.141696665587697,9.141696665588041
16740,0,9.141698549649915,9.141698549650242
16800,0,9.141700444277472,9.141700444277737
16860,0,9.141702342822843,9.141702342823018
16920,0,9.141704238958358,9.141704238958443
16980,0,9.141706126356368,9.141706126356388
17040,0,9.141708001154367,9.141708001154361
17100,0,9.141709874,9.141709873650532
17160,0,9.141711739864576,9.141711739864608
17220,0,9.141713592553007,9.141713592553076
17280,0,9.141715424472336,9.141715424472437
17340,0,9.14171723,9.141717229790371
17400,0,9.141719013866982,9.141719014
17460,0,9.141720779,9.141720779003265
17520,0,9.141722526039375,9.141722526039517
17580,0,9.141724255816406,9.141724255816563
17640,0,9.141725966410426,9.141725966
17700,0,9.141727645206759,9.141727645206995
17760,0,9.141729304,9.141729304202073
17820,0,9.141730959737483,9.141730959737833
17880,0,9.141732628155875,9.141732628156262
17940,0,9.141734324376088,9.141734324376491
18000,0,9.141736045213136,9.141736045
18060,0,9.141737779267979,9.141737779268347
18120,0,9.141739515711912,9.141739515712246
18180,0,9.141741243716233,9.141741243716533
18240,0,9.141742957086961,9.141742957
18300,0,9.141744675369667,9.141744675
18360,0,9.141746389800197,9.141746389800385
18420,0,9.141748085362348,9.141748085362499
18480,0,9.141749747039931,9.141749747040054
18540,0,9.141751360850602,9.141751360850712
18600,0,9.141752929,9.141752929192462
18660,0,9.141754466,9.141754466
18720,0,9.141755984327954,9.141755984328091
18780,0,9.141757498569476,9.141757498569635
18840,0,9.141759017400627,9.141759017400808
18900,0,9.141760521,9.141760521051339
18960,0,9.141762016,9.141762016113253
19020,0,9.141763515438482,9.141763515438813
19080,0,9.141765031879936,9.141765031880283
19140,0,9.141766577142134,9.141766577142455
19200,0,9.141768149,9.141768148713167
19260,0,9.141769738091027,9.141769738091142
19320,0,9.141771337285753,9.141771337285748
19380,0,9.141772938,9.141772938306358
19440,0,9.141774535973436,9.141774535973322
19500,0,9.141776142,9.141776141829574
19560,0,9.141777752,9.141777752089759
19620,0,9.141779359323504,9.141779359323577
19680,0,9.141780956,9.141780956100746
19740,0,9.141782536768094,9.141782536768186
19800,0,9.141784108187757,9.141784108
19860,0,9.141785670748769,9.141785670748629
19920,0,9.141787222792642,9.141787223
19980,0,9.141788762660916,9.141788763
20040,0,9.141790287883332,9.141790287883014
20100,0,9.141791794405682,9.141791794405483
20160,0,9.141793287977924,9.141793288
20220,0,9.141794775831759,9.141794775831903
20280,0,9.141796265198884,9.141796265199147
20340,0,9.141797763067252,9.141797763067528
20400,0,9.141799269804338,9.14179927
20460,0,9.141800778539208,9.141800778539247
20520,0,9.141802282033302,9.141802282033181
20580,0,9.141803773048052,9.141803773047805
20640,0,9.141805245828534,9.141805245828232
20700,0,9.141806705934817,9.141806705934508
20760,0,9.141808154960781,9.141808154960492
20820,0,9.141809592905613,9.141809592905359
20880,0,9.14181102,9.14181102
20940,0,9.141812434463148,9.141812434462917
21000,0,9.141813831987909,9.141813831987657
21060,0,9.141815217,9.141815217473159
21120,0,9.141816597794138,9.141816598
21180,0,9.141817979824417,9.141817979824117
21240,0,9.14181937,9.141819369907338
21300,0,9.141820766986655,9.141820766986463
21360,0,9.141822165873094,9.141822165872995
21420,0,9.141823561506275,9.141823562
21480,0,9.141824949,9.141824948825665
21540,0,9.141826323025587,9.141826323
21600,0,9.141827684296603,9.141827684296969
21660,0,9.141829037197608,9.141829037198123
21720,0,9.141830386416272,9.141830386416917
21780,0,9.141831736640274,9.141831737
21840,0,9.141833093406468,9.141833093407197
21900,0,9.141834461685399,9.141834461686054
21960,0,9.141835832507827,9.141835832508352
22020,0,9.141837195060523,9.141837195060898
22080,0,9.141838538530262,9.141838538530497
22140,0,9.141839853250486,9.141839853250604
22200,0,9.141841142610916,9.141841143
22260,0,9.141842414079656,9.141842414079505
22320,0,9.141843674462391,9.141843674462129
22380,0,9.141844930564819,9.141844930564487
22440,0,9.141846187545138,9.141846187544804
22500,0,9.141847439110618,9.141847439110355
22560,0,9.141848685,9.141848685217989
22620,0,9.141849927742626,9.141849927742609
22680,0,9.141851168559016,9.141851168559128
22740,0,9.141852409227516,9.141852409227734
