t [s],Q [W],Tin [degC],Tout [degC]
0,0,9.99999999999989,9.99999999999989
1,0,9.99999999999818,10.0000000000002
2,0,9.99999999999949,9.99999999999989
4,0,10.0000000000011,9.99999999999949
8,0,10.0000000000002,9.99999999999983
16,0,9.99999999999972,9.99999999999977
32,0,9.99999999999972,9.99999999999977
64,0,9.99999999999977,9.99999999999972
128,0,9.99999999999972,9.99999999999972
256,0,9.99999999999977,9.99999999999972
512,0,9.99999999999977,9.99999999999972
812,0,9.99999999999977,9.99999999999972
1112,0,9.99999999999977,9.99999999999972
1412,0,9.99999999999977,9.99999999999972
1712,0,9.99999999999972,9.99999999999972
2012,0,9.99999999999977,9.99999999999972
2312,0,9.99999999999972,9.99999999999972
2612,0,9.99999999999972,9.99999999999966
2912,0,9.99999999999955,9.99999999999955
3212,0,9.99999999999972,9.99999999999966
3512,0,9.99999999999972,9.99999999999955
3812,0,9.99999999999972,9.99999999999955
4112,0,9.99999999999943,9.99999999999955
4412,0,9.99999999999938,9.99999999999949
4712,0,9.99999999999955,9.99999999999949
5012,0,9.99999999999943,9.99999999999949
5312,0,9.99999999999955,9.99999999999949
5612,0,9.99999999999955,9.99999999999949
5912,0,9.99999999999955,9.99999999999949
6212,0,9.99999999999955,9.99999999999949
6512,0,9.99999999999943,9.99999999999949
6812,0,9.99999999999943,9.99999999999949
7112,0,9.99999999999943,9.99999999999949
7412,0,9.99999999999955,9.99999999999949
7712,0,9.99999999999955,9.99999999999949
8012,0,9.99999999999943,9.99999999999949
8312,0,9.99999999999938,9.99999999999949
8612,0,9.99999999999938,9.99999999999949
8912,0,9.99999999999943,9.99999999999949
9212,0,9.99999999999943,9.99999999999949
9512,0,9.99999999999943,9.99999999999949
9812,0,9.99999999999955,9.99999999999949
10112,0,9.99999999999955,9.99999999999949
10412,0,9.99999999999943,9.99999999999949
10712,0,9.99999999999938,9.99999999999949
11012,0,9.99999999999955,9.99999999999949
11312,0,9.99999999999938,9.99999999999949
11612,0,9.99999999999938,9.99999999999949
11912,0,9.99999999999943,9.99999999999949
12212,0,9.99999999999955,9.99999999999949
12512,0,9.99999999999943,9.99999999999949
12812,0,9.99999999999943,9.99999999999949
13112,0,9.99999999999943,9.99999999999949
13412,0,9.99999999999943,9.99999999999949
13712,0,9.99999999999943,9.99999999999949
14012,0,9.99999999999943,9.99999999999949
14312,0,9.99999999999955,9.99999999999949
14612,0,9.99999999999943,9.99999999999949
14912,0,9.99999999999943,9.99999999999949
15212,0,9.99999999999943,9.99999999999949
15512,0,9.99999999999955,9.99999999999949
15812,0,9.99999999999943,9.99999999999949
16112,0,9.99999999999955,9.99999999999949
16412,0,9.99999999999943,9.99999999999949
16712,0,9.99999999999943,9.99999999999949
17012,0,9.99999999999943,9.99999999999949
17312,0,9.99999999999943,9.99999999999949
17612,0,9.99999999999955,9.99999999999949
17912,0,9.99999999999943,9.99999999999949
18212,0,9.99999999999943,9.99999999999949
18512,0,9.99999999999955,9.99999999999949
18812,0,9.99999999999943,9.99999999999949
19112,0,9.99999999999938,9.99999999999949
19412,0,9.99999999999943,9.99999999999949
19712,0,9.99999999999943,9.99999999999949
20012,0,9.99999999999943,9.99999999999949
20312,0,9.99999999999943,9.99999999999949
20612,0,9.99999999999943,9.99999999999949
20912,0,9.99999999999943,9.99999999999949
21212,0,9.99999999999955,9.99999999999949
21512,0,9.99999999999943,9.99999999999949
21812,0,9.99999999999943,9.99999999999949
22112,0,9.99999999999955,9.99999999999949
22412,0,9.99999999999943,9.99999999999949
22712,0,9.99999999999972,9.99999999999949
23012,0,9.99999999999938,9.99999999999949
23312,0,9.99999999999938,9.99999999999949
23612,0,9.99999999999955,9.99999999999949
23912,0,9.99999999999938,9.99999999999949
24212,0,9.99999999999938,9.99999999999949
24512,0,9.99999999999955,9.99999999999949
24812,0,9.99999999999943,9.99999999999949
25112,0,9.99999999999955,9.99999999999949
25412,0,9.99999999999955,9.99999999999949
25712,0,9.99999999999955,9.99999999999949
26012,0,9.99999999999955,9.99999999999949
26312,0,9.99999999999955,9.99999999999949
26612,0,9.99999999999955,9.99999999999949
26912,0,9.99999999999955,9.99999999999949
27212,0,9.99999999999938,9.99999999999949
27512,0,9.99999999999955,9.99999999999949
27812,0,9.99999999999938,9.99999999999949
28112,0,9.99999999999938,9.99999999999949
28412,0,9.99999999999955,9.99999999999949
28712,0,9.99999999999938,9.99999999999949
29012,0,9.99999999999938,9.99999999999949
29312,0,9.99999999999938,9.99999999999949
29612,0,9.99999999999955,9.99999999999949
29912,0,9.99999999999938,9.99999999999949
30212,0,9.99999999999943,9.99999999999949
30512,0,9.99999999999943,9.99999999999949
30812,0,9.99999999999943,9.99999999999949
31112,0,9.99999999999943,9.99999999999949
31412,0,9.99999999999943,9.99999999999949
31712,0,9.99999999999938,9.99999999999949
32012,0,9.99999999999955,9.99999999999949
32312,0,9.99999999999938,9.99999999999949
32612,0,9.99999999999938,9.99999999999949
32912,0,9.99999999999943,9.99999999999949
33212,0,9.99999999999955,9.99999999999949
33512,0,9.99999999999955,9.99999999999949
33812,0,9.99999999999955,9.99999999999949
34112,0,9.99999999999943,9.99999999999949
34412,0,9.99999999999943,9.99999999999949
34712,0,9.99999999999943,9.99999999999949
35012,0,9.99999999999938,9.99999999999949
35312,0,9.99999999999943,9.99999999999949
35612,0,9.99999999999955,9.99999999999949
35912,0,9.99999999999943,9.99999999999949
36212,0,9.99999999999938,9.99999999999949
36512,0,9.99999999999955,9.99999999999949
36812,0,9.99999999999938,9.99999999999949
37112,0,9.99999999999938,9.99999999999949
37412,0,9.99999999999955,9.99999999999949
37712,0,9.99999999999938,9.99999999999949
38012,0,9.99999999999938,9.99999999999949
38312,0,9.99999999999955,9.99999999999949
38612,0,9.99999999999943,9.99999999999949
38912,0,9.99999999999943,9.99999999999949
39212,0,9.99999999999943,9.99999999999949
39512,0,9.99999999999943,9.99999999999949
39812,0,9.99999999999955,9.99999999999949
40112,0,9.99999999999943,9.99999999999949
40412,0,9.99999999999943,9.99999999999949
40712,0,9.99999999999943,9.99999999999949
41012,0,9.99999999999955,9.99999999999949
41312,0,9.99999999999943,9.99999999999949
41612,0,9.99999999999955,9.99999999999949
41912,0,9.99999999999943,9.99999999999949
42212,0,9.99999999999943,9.99999999999949
42512,0,9.99999999999938,9.99999999999949
42812,0,9.99999999999943,9.99999999999949
43112,0,9.99999999999955,9.99999999999949
43412,0,9.99999999999955,9.99999999999949
43712,0,9.99999999999955,9.99999999999949
44012,0,9.99999999999955,9.99999999999949
44312,0,9.99999999999943,9.99999999999949
44612,0,9.99999999999943,9.99999999999949
44912,0,9.99999999999943,9.99999999999949
45212,0,9.99999999999955,9.99999999999949
45512,0,9.99999999999955,9.99999999999949
45812,0,9.99999999999943,9.99999999999949
46112,0,9.99999999999955,9.99999999999949
46412,0,9.99999999999943,9.99999999999949
46712,0,9.99999999999943,9.99999999999949
47012,0,9.99999999999943,9.99999999999949
47312,0,9.99999999999943,9.99999999999949
47612,0,9.99999999999943,9.99999999999949
47912,0,9.99999999999938,9.99999999999949
48212,0,9.99999999999955,9.99999999999949
48512,0,9.99999999999938,9.99999999999949
48812,0,9.99999999999943,9.99999999999949
49112,0,9.99999999999943,9.99999999999949
49412,0,9.99999999999955,9.99999999999949
49712,0,9.99999999999955,9.99999999999949
50012,0,9.99999999999955,9.99999999999949
50312,0,9.99999999999955,9.99999999999949
50612,0,9.99999999999955,9.99999999999949
50912,0,9.99999999999943,9.99999999999949
51212,0,9.99999999999943,9.99999999999949
51512,0,9.99999999999943,9.99999999999949
51812,0,9.99999999999943,9.99999999999949
52112,0,9.99999999999943,9.99999999999949
52412,0,9.99999999999943,9.99999999999949
52712,0,9.99999999999943,9.99999999999949
53012,0,9.99999999999943,9.99999999999949
53312,0,9.99999999999943,9.99999999999949
53612,0,9.99999999999943,9.99999999999949
53912,0,9.99999999999943,9.99999999999949
54212,0,9.99999999999943,9.99999999999949
54512,0,9.99999999999943,9.99999999999949
54812,0,9.99999999999943,9.99999999999949
55112,0,9.99999999999943,9.99999999999949
55412,0,9.99999999999955,9.99999999999949
55712,0,9.99999999999938,9.99999999999949
56012,0,9.99999999999955,9.99999999999949
56312,0,9.99999999999938,9.99999999999949
56612,0,9.99999999999938,9.99999999999949
56912,0,9.99999999999938,9.99999999999949
57212,0,9.99999999999955,9.99999999999949
57512,0,9.99999999999955,9.99999999999949
57812,0,9.99999999999955,9.99999999999949
58112,0,9.99999999999943,9.99999999999949
58412,0,9.99999999999943,9.99999999999949
58712,0,9.99999999999943,9.99999999999949
59012,0,9.99999999999955,9.99999999999949
59312,0,9.99999999999943,9.99999999999949
59612,0,9.99999999999943,9.99999999999949
59912,0,9.99999999999943,9.99999999999949
60212,0,9.99999999999955,9.99999999999949
60512,0,9.99999999999955,9.99999999999949
60812,0,9.99999999999955,9.99999999999949
61112,0,9.99999999999955,9.99999999999949
61412,0,9.99999999999943,9.99999999999949
61712,0,9.99999999999938,9.99999999999949
62012,0,9.99999999999955,9.99999999999949
62312,0,9.99999999999938,9.99999999999949
62612,0,9.99999999999938,9.99999999999949
62912,0,9.99999999999938,9.99999999999949
63212,0,9.99999999999955,9.99999999999949
63512,0,9.99999999999943,9.99999999999949
63812,0,9.99999999999943,9.99999999999949
64112,0,9.99999999999955,9.99999999999949
64412,0,9.99999999999955,9.99999999999949
64712,0,9.99999999999955,9.99999999999949
65012,0,9.99999999999955,9.99999999999949
65312,0,9.99999999999955,9.99999999999949
65612,0,9.99999999999955,9.99999999999949
65912,0,9.99999999999955,9.99999999999949
66212,0,9.99999999999955,9.99999999999949
66512,0,9.99999999999955,9.99999999999949
66812,0,9.99999999999955,9.99999999999949
67112,0,9.99999999999955,9.99999999999949
67412,0,9.99999999999955,9.99999999999949
67712,0,9.99999999999955,9.99999999999949
68012,0,9.99999999999955,9.99999999999949
68312,0,9.99999999999955,9.99999999999949
68612,0,9.99999999999955,9.99999999999949
68912,0,9.99999999999943,9.99999999999949
69212,0,9.99999999999938,9.99999999999949
69512,0,9.99999999999938,9.99999999999949
69812,0,9.99999999999955,9.99999999999949
70112,0,9.99999999999938,9.99999999999949
70412,0,9.99999999999938,9.99999999999949
70712,0,9.99999999999955,9.99999999999949
71012,0,9.99999999999943,9.99999999999949
71312,0,9.99999999999943,9.99999999999949
71612,0,9.99999999999955,9.99999999999949
71912,0,9.99999999999955,9.99999999999949
72212,0,9.99999999999955,9.99999999999949
72512,0,9.99999999999943,9.99999999999949
72812,0,9.99999999999943,9.99999999999949
73112,0,9.99999999999955,9.99999999999949
73412,0,9.99999999999955,9.99999999999949
73712,0,9.99999999999955,9.99999999999949
74012,0,9.99999999999955,9.99999999999949
74312,0,9.99999999999955,9.99999999999949
74612,0,9.99999999999955,9.99999999999949
74912,0,9.99999999999955,9.99999999999949
75212,0,9.99999999999943,9.99999999999949
75512,0,9.99999999999943,9.99999999999949
75812,0,9.99999999999955,9.99999999999949
76112,0,9.99999999999955,9.99999999999949
76412,0,9.99999999999943,9.99999999999949
76712,0,9.99999999999943,9.99999999999949
77012,0,9.99999999999938,9.99999999999949
77312,0,9.99999999999955,9.99999999999949
77612,0,9.99999999999938,9.99999999999949
77912,0,9.99999999999938,9.99999999999949
78212,0,9.99999999999943,9.99999999999949
78512,0,9.99999999999955,9.99999999999949
78812,0,9.99999999999938,9.99999999999949
79112,0,9.99999999999943,9.99999999999949
79412,0,9.99999999999943,9.99999999999949
79712,0,9.99999999999943,9.99999999999949
80012,0,9.99999999999943,9.99999999999949
80312,0,9.99999999999955,9.99999999999949
80612,0,9.99999999999955,9.99999999999949
80912,0,9.99999999999955,9.99999999999949
81212,0,9.99999999999943,9.99999999999949
81512,0,9.99999999999938,9.99999999999949
81812,0,9.99999999999943,9.99999999999949
82112,0,9.99999999999943,9.99999999999949
82412,0,9.99999999999955,9.99999999999949
82712,0,9.99999999999955,9.99999999999949
